569,Sarcelle-3,9
570,Tango,20
571,Argentina-1,20
572,Brynhild-2,88
573,Espuma del Mar,106
574,Twins II,15
575,Pupilles de Neptune de Lille #2-1,9
576,Beaver,42
577,Monaco-2,77
578,Baccara,73
579,Cobweb-1,88
580,Ral-Club Barcelona,11
581,Vietnam,221
582,Elvis Va,41
583,Romolo,15
584,Aldebaran II,15
585,Aldebaran,15
586,Argus,103
587,Galatea II,15
588,Twins VIII,15
589,Antwerpia V,51
590,Lotta IV,80
591,Saga-2,80
592,Mari,80
593,Paula,44
594,Oranje,3
595,Willem-Six,3
596,DeRuyter,3
597,Acturus,20
598,Societ Nautique de la Marne,9
599,Mexico-2,27
600,Teresita,5
601,Barion/Bari-2,15
602,Eissero VI,9
603,New York Athletic Club-4,4
604,K Division Metropolitan Police Team-3,88
605,Israel-1,78
606,Hong Kong-1,196
607,Malaysia-1,40
608,Cambodia,183
609,Complex II,4
610,Allegro,9
611,Gam II,9
612,Ylliam VIII,73
613,Quand-Mme-33,9
614,Quand-Mme-2,9
615,United States-9,4
616,Berliner Ruderclub Sport-Borussia-1,41
617,Smyrna,88
618,Chinese Taipei-2,203
619,Calimucho,9
620,Bhutan,222
621,North Korea-1,184
622,Malaysia-2,40
623,Kingfisher,199
624,Yangon,199
625,Gustel V,41
626,Sonja II,6
627,Jill,2
628,Kiel,2
629,KNS,6
630,Galt Football Club,42
631,Tim-Tam III,73
632,Uragan,28
633,Kon-Tiki,28
634,Babe,4
635,Poland-2,95
636,Antares,20
637,Venilia,15
638,Hatuey,21
639,Mauritius-1,116
640,Cincinnati Archers,4
641,Morena,2
642,Libellule de Paris-3,9
643,Societ Nautique de la Marne-3,9
644,"Osborne Swimming Club, Manchester",88
645,Brussels Swimming and Water Polo Club,51
646,Ancora,88
647,Saskia,88
648,Wales-4,88
649,SagaII,42
650,Gem,162
651,June Climene,66
652,Cambria,44
653,Oleander XII,150
654,Phoenix,196
655,Ylliam VII,73
656,Ballerina IV,73
657,Chicago Athletic Association,9
658,Calypse II,9
659,Scotland,88
660,Scotland-2,88
661,Ciocca,15
662,Esperia,15
663,Tournade-40,9
664,Tornade-16,9
665,Galejan,80
666,Great Britain-4,88
667,Cuba-1,21
668,Marshall Islands,223
669,United States-6,4
670,Santa Maria,42
671,Dormy-1,88
672,Umberta V,15
673,Rozenn-3,9
674,Jest,102
675,Magdalen College Boat Club-1,88
676,Western Golf Association-1,4
677,Scotia,88
678,Red Dragon,102
679,"R.-V. Germania, Leitmeritz",131
680,Hungary-1,30
681,Akatonbo,43
682,Terrible,74
683,Elisabeth V,6
684,Studenternes Roklub-2,6
685,Rififi,5
686,New York Athletic Club #1-1,4
687,Partenope,64
688,Bermudes,150
689,England,88
690,Cornwall,88
691,Kiribati,224
692,United States-7,4
693,Diablo,44
694,Plume-patte-32,9
695,Plume-Patte-5,9
696,Pierre et Jean-3,9
697,Pierre et Jean-4,9
698,Espadarte,103
699,Fruits,11
700,Belgium-2,51
701,Sidi Fekkar-36,9
702,Sidi-Fekkar-14,9
703,Souvenance,9
704,Meteor,51
705,Kurush IV,21
706,Vesania,21
707,Kurush II,21
708,Canopus,103
709,Crabe I-11,9
710,Crabe I-3,9
711,Crabe I-2,9
712,Gwendoline-22,9
713,Gwendoline-2,9
714,United States/France,4
715,Vicking,103
716,Daisy,3
717,Virginie,9
718,Acipactli,27
719,Belgium-4,51
720,Pegaso,15
721,Girl Pat,51
722,Fada,9
723,Bu III,74
724,Lerina,73
725,"Bagatelle Polo Club, Paris",9
726,Bem II,3
727,St. Margrite,3
728,Hollandia,3
729,Aphrodite,4
730,Bonzo,2
731,Socit Nautique de la Basse Seine-1,9
